property_id,listing_price,beds,baths,address,latitude,longitude,detail_url,uprn,property_name,description,tenure,floor_size,listing_update_date,postcode,estimate_price,estimate_low,estimate_high,estimate_url,price_delta,school_commute_seconds,school_commute_text,school_distance_km,office_commute_seconds,office_commute_text,office_distance_km
72649990,1250000,4,3,"10 St. Georges Road, Kingston Upon Thames KT2",51.417172,-0.289444,https://www.zoopla.co.uk/for-sale/details/72649990/,128038744,4 bed detached house for sale,"Immaculate 4 double bedroom, detached family house located conveniently for Richmond Park &amp; Norbiton railway station. With all the Victorian style yet only being 14 years old, the EPC rating is excellent! Set on a highly sought after road, this family home has the epitome of, 'curb appeal'. Inside only gets better with under floor heating to the ground floor, contemporary design throughout giving you the perfect marriage of Victorian facade and modern internal living. With outstanding local schools and only a short walk to cafes and restaurants yet set on a quiet tree lined road, you couldn't ask for more. This immaculately presented and substantial, 4 double bedroom, detached family house is perfectly located within walking distance of Richmond Park, Norbiton railway station, Kingston Hospital and outstanding schools. You have the highly desirable 'North Kingston' setting, on a peaceful tree lined road and yet close to everything one needs. Kingston Town Centre, with its wonderful array of shops, restaurants and family-owned cafÃ©s is down the road. Kingston riverside boasting beautiful views and pubs as well as providing activities for all the family to enjoy. The home benefits from the glorious Victorian style but is only in fact, 14 years old! All the pretty features yet having an EPC rating of band, 'B'. With 4 double bedrooms, 3 bath/shower rooms, front living room, invaluable downstairs WC and utility room, open plan kitchen and dining space having bi-fold doors leading out onto ones private rear garden having side access...you have it all",freehold,,2026-03-12,KT2 6DN,1240000.0,1170000.0,1300000.0,https://www.zoopla.co.uk/property/uprn/128038744/,10000.0,825,14 mins,1.01,4109,1 hour 8 mins,22.84
72633412,900000,5,2,"63 Bonner Hill Road, Kingston Upon Thames KT1",51.406615,-0.290509,https://www.zoopla.co.uk/for-sale/details/72633412/,,5 bed detached house for sale,"On the ground floor, the home offers excellent family living and entertaining space. A welcoming entrance hall leads to a bright reception room at the front, complete with feature fireplace and large window flooding the room with light. To the rear, a generous dining room opens through to a well placed kitchen, and onto a delightful conservatory, providing direct access to the private garden â perfect for everyday living and hosting. The first floor is home to three well-proportioned bedrooms, including a spacious principal bedroom, as well as a family bathroom. The second floor provides two further versatile rooms, ideal as additional bedrooms, guest accommodation, or a home office/study, along with useful eaves storage and additional shower room. Externally, the property boasts a charming rear garden with ample space for outdoor dining and play, along with a separate shed for storage. Situation Bonner Hill Road is perfectly located on a quiet residential street in the heart of Kingston Upon Thames. Just a short walk from the town centre, residents enjoy easy access to shops, restaurants, the riverside, and the popular Bentall Centre as well as John Lewis. Both Kingston and Norbiton stations are nearby, offering fast links to London Waterloo, while excellent local schools and green spaces like Fairfield Recreation Ground and Richmond Park make this an ideal spot for families and professionals alike. Property Ref Number: Ham-6047",freehold,1907,2026-03-11,KT1 3EU,,,,,,757,13 mins,0.92,4448,1 hour 14 mins,23.26
72630213,875000,4,3,"34 Grove Crescent, Kingston Upon Thames KT1",51.404135,-0.30205,https://www.zoopla.co.uk/for-sale/details/72630213/,,4 bed terraced house for sale,"Situated on a popular residential street is this well presented end of terrace townhouse offering 1,509 sq ft of accommodation over three floors. The property has been tastefully refurbished by the current owners and is just a short walk from the River Thames and Fairfield Park, perfect for recreational pursuits. Grove Crescent is centrally situated within Kingston Upon Thames and is ideally positioned for Richmond Park, Kingston and Surbiton mainline train stations and the areas extensive shopping and leisure amenities including both high street and artisan shops, independent coffee shops and fabulous bars and restaurants. Tenure: Freehold Council Tax Band: F Information contained within this listing is for guidance only and should be checked and confirmed (prior to proceeding).",freehold,,2026-03-10,KT1 2DG,,,,,,649,11 mins,1.44,4474,1 hour 15 mins,24.81
72622227,1150000,4,2,"Neville Road, Kingston Upon Thames KT1",51.410398,-0.284156,https://www.zoopla.co.uk/new-homes/details/72622227/,100021764787,4 bed semi-detached house for sale,"Neville road Kingston, KT1 Location Enviably positioned in this most sought-after residential road on the outskirts of Kingston in Norbiton Village, and approximately 3 mins walk to the excellent travelling facilities of the Mainline Station with direct trains to London/Waterloo. Just a stoneâs throw away from the open green spaces of Richmond Park, Kingston Hospital and array of Pavement CafÃ©âs, Restaurants, Shops and Pubs Description A Bright and Spacious Semi-Detached Family Home comprising; Entrance Hall, large dual-aspect Reception Room with bay window, open-plan to separate Dining Room with sliding patio doors opening out onto a Delightful Private South Easterly Facing 80â Rear Garden, separate fully fitted Kitchen, downstairs Cloak Room/WC, Four Double Bedrooms, Two Bathrooms/WC (one en-suite Shower Room &amp; one Four-piece Bathroom suite), Office Room at the rear of the garden (approximately 110 sq/ft) and Off Street Parking to front elevation Additional positive feature and advantage This Beautiful Property also Benefits from having already had a Loft Conversion/Extension, to create a Spacious Fourth Double Bedroom, En-Suite Shower Room/WC, Two double Wardrobes and an abundance of hidden storage spaces. Planning permission The property is offered with the added benefit of having Full Planning Consent Granted for the erection of a Single Storey Full-Width Rear Extension at Ground Floor Elevation, giving an additional 170 sq/ft (approx) of accommodation to the overall square footage of the house and increasing the value of the property. (Copy of the Architects Drawings/Schematics and Planning Consengt are available upon request) Ideal family home Property video available (Upon Request) viewings:- strictly through the sole agent - maison residential group (Please contact us to register for your Private Appointment) Freehold house Â£1,150,000.00 Contact our office to arrange a viewing",freehold,1600,2026-03-10,KT1 3QX,1050000.0,843000.0,1270000.0,https://www.zoopla.co.uk/property/uprn/100021764787/,100000.0,700,12 mins,1.23,3625,1 hour 0 mins,22.27
66895507,925000,3,2,"3 Borough Road, Kingston Upon Thames, Surrey KT2",51.416185,-0.286966,https://www.zoopla.co.uk/for-sale/details/66895507/,100021754971,3 bed semi-detached house for sale,"An attractive three bedroom semi detached house close to Richmond Park. Description This charming semi detached house was extended to the rear on both the ground/first floor and into the loft. The property benefits from new flooring and high end appliances throughout. The house is set back from the road behind a pretty front garden. To the front is a welcoming reception room with good natural light which flows through to an impressive modern kitchen/dining space. The kitchen features striking sealed marble worksurfaces, fully integrated appliances and a breakfast bar. Full height sliding glass doors open to a pretty rear garden with raised flower beds. There is also a guest cloakroom on the ground floor. Upstairs, on the first floor are two double bedrooms both with fitted wardrobes that share a contemporary family bathroom. On the top floor is a generous principal bedroom with a stylish en suite bathroom and useful eaves storage. Chain free. Location Situated in a popular residential road close to Norbiton and popular St Pauls and Alexander Schools and within nearby reach of Kingston Gate into the open spaces of Richmond Park. Richmond Park is one of London's Royal Parks with over 2,000 acres of parkland including wild deer, attractive ponds and views towards London and the surrounding area. Locally are a number of highly sought after senior schools including Kingston Grammar School, Tiffin and Kings College School in Wimbledon. Kingston town centre is within one mile approximately, offering a selection of everyday shops and restaurants with access onto the River Thames. Norbiton rail station for London is within 650 metres (London Waterloo in approximately 25 minutes) and there is good access to the A3 Kingston Hill. Source of times Source of distances Google Pedometer All measurements are approximate Square Footage: 1,206 sq ft Additional Info Gas central heating Fibre broadband Council permit parking on street The house has new wiring, cat 5 cabling, a new heating system, triple glazed Low-e glazing, wall insulation and acoustic isolation",freehold,,2025-10-13,KT2 6BD,991000.0,942000.0,1040000.0,https://www.zoopla.co.uk/property/uprn/100021754971/,-66000.0,644,11 mins,1.19,3980,1 hour 6 mins,22.7
72617749,1050000,5,2,"Beresford Road, Kingston Upon Thames KT2",51.41478,-0.293627,https://www.zoopla.co.uk/for-sale/details/72617749/,128028547,5 bed detached house for sale,"A fantastic opportunity to acquire this five-bedroom semi-detached home situated in a highly desirable KT2 location. Structurally ready and offering a true blank canvas, the property presents excellent potential for buyers to personalise and create a wonderful family home. The accommodation is well proportioned throughout and includes a bright reception room featuring an attractive bay window and log burner, along with a spacious kitchen/diner ideal for family living and entertaining. The property benefits from five bedrooms, including a principal bedroom with its own en-suite shower room, as well as a further two bathrooms serving the remaining accommodation. Externally, the home enjoys a generous 46ft rear garden providing ample outdoor space, while to the front there is a driveway offering convenient off-street parking. This appealing home combines strong fundamentals with exciting scope for improvement, all set within a sought-after KT2 setting. Situation Beresford Road is a sought-after residential address within Kingston upon Thames, offering easy access to the River Thames, Canbury Gardens, and the vibrant town centre, which provides an excellent mix of shops, cafÃ©s, restaurants, and cultural venues. Kingston and Norbiton stations are both nearby, with fast and frequent rail services into London Waterloo, making this an ideal location for commuters. The property is also close to several well-regarded schools, both state and independent, which adds to its appeal for families. In addition, the wide open spaces of Richmond Park are within easy reach. Property Ref Number: Ham-6359",freehold,1651,2026-03-09,KT2 6LR,1220000.0,1100000.0,1340000.0,https://www.zoopla.co.uk/property/uprn/128028547/,-170000.0,483,8 mins,0.59,4084,1 hour 8 mins,23.96
72617689,1300000,4,3,"Cobham Road, Kingston Upon Thames KT1",51.411015,-0.287001,https://www.zoopla.co.uk/for-sale/details/72617689/,100023057197,4 bed semi-detached house for sale,"An exceptional fully renovated four-bedroom semi-detached family residence with private garden, ideally positioned on the desirable outskirts of Kingston. This striking family home has been comprehensively upgraded and meticulously renovated by the current owner, offering beautifully presented accommodation across three floors. Stylish contemporary interiors blend seamlessly with high-quality finishes throughout, creating a sophisticated yet highly practical home perfectly suited to modern family living. The ground floor opens into a welcoming entrance hall with guest cloakroom and staircase rising to the upper floors. To the front, an elegant reception room with a bay window provides a comfortable setting for both relaxation and entertaining. To the rear, the house opens into a superb open-plan kitchen and breakfast room forming the heart of the home. Designed with both style and practicality in mind, the space enjoys excellent natural light from overhead skylights and wide sliding doors that lead directly onto the terrace and garden beyond. The kitchen is fitted with a comprehensive range of bespoke wall and base cabinetry, complemented by quality work surfaces and a central island with breakfast bar seating. Integrated appliances, an inset sink and range-style cooker complete the space, while a separate utility room provides additional storage and appliance space. The first floor comprises three well-proportioned bedrooms, including one with a contemporary en-suite shower room featuring a walk-in shower and twin âJack and Jillâ basins. A further stylish shower room serves the remaining bedrooms. Occupying the entire second floor is a superb principal suite, creating a private and luxurious retreat. The room benefits from skylight windows, a dedicated dressing area and a beautifully appointed bathroom with freestanding bath and separate walk-in shower. Further benefits include bespoke joinery, quality flooring throughout, gas central heating, double glazing and excellent integrated storage. The property enjoys a convenient yet peaceful location within easy reach of the extensive amenities of Kingston town centre, which offers a wide selection of shops, cafÃ©s, restaurants and leisure facilities including a cinema complex. Both Norbiton (0.2miles) and Kingston stations (0.9miles) are nearby, providing regular rail services into central London, while numerous bus routes serve the surrounding area. The area is particularly well regarded for its excellent schools and outstanding green spaces, including nearby Richmond Park and Bushy Park, with the River Thames running through the heart of Kingston. Viewing is highly recommended to appreciate the quality and setting of this fine home. key information Tenure: Freehold Rating Authority: Kingston Upon Thames Council Tax: Band F ( Â£3596 per annum 2025/26 ) Parking- On street with permit for 2 cars. EPC Rating:",freehold,2037,2026-03-09,KT1 3AF,886000.0,798000.0,975000.0,https://www.zoopla.co.uk/property/uprn/100023057197/,414000.0,511,9 mins,0.99,3706,1 hour 2 mins,22.38
72613782,950000,3,1,"Caversham Road, Kingston Upon Thames KT1",51.409908,-0.297432,https://www.zoopla.co.uk/for-sale/details/72613782/,100021756429,3 bed detached house for sale,"This well-proportioned and stylishly presented three double bedroom detached family home combines period charm with modern style. The accommodation includes a spacious through sitting/dining room, cloakroom/WC, and a modern kitchen with breakfast area and double doors opening to a low-maintenance garden. Upstairs offers a large principal bedroom with built-in wardrobes, two further double bedrooms (one with built-in wardrobes), and a family bathroom. Ideally located within the Fairfield/Knights Park Conservation Area close to Fairfield Recreation Ground, Kingston town centre and excellent schools including Tiffin School and Kingston Grammar School.",freehold,,2026-03-09,KT1 2PU,985000.0,936000.0,1030000.0,https://www.zoopla.co.uk/property/uprn/100021756429/,-35000.0,232,4 mins,0.26,4006,1 hour 7 mins,23.85
72602386,1100000,4,2,"58 Thorpe Road, Kingston Upon Thames KT2",51.419475,-0.300068,https://www.zoopla.co.uk/for-sale/details/72602386/,100021768564,4 bed detached house for sale,"Nestled on the charming Thorpe Road in Kingston Upon Thames, this exquisite detached Victorian villa offers a perfect blend of classic elegance and modern living. With its impressive faÃ§ade and well-maintained exterior, this property is sure to capture your heart from the moment you arrive. Inside, you will find two spacious reception rooms that provide ample space for relaxation and entertaining. The highlight of the home is undoubtedly the stunning open plan kitchen and dining area, featuring floor-to-ceiling glass doors that flood the space with natural light and seamlessly connect to the outdoor area. This design creates an inviting atmosphere, perfect for family gatherings or hosting friends. The property boasts four bedrooms, providing plenty of room for a growing family or guests. With two well-appointed bathrooms, morning routines will be a breeze, ensuring comfort and convenience for all. Additionally, the utility room and downstairs WC add to the practicality of this delightful home. Immaculately presented throughout, this Victorian villa retains its period charm while offering modern amenities that cater to contemporary lifestyles. The thoughtful layout and stylish finishes make it a truly special place to call home. This property is ideally situated in a sought-after area, close to local amenities, schools, and transport links, making it an excellent choice for families and professionals alike. Do not miss the opportunity to make this stunning Victorian villa your own. Located in this premier North Kingston road close to Canbury Gardens, Thorpe Road is a very sought after address. The property is ideally situated for Kingston station giving direct access into Waterloo and the A3 which serves both London and the M25. Kingston town centre with its array of shops and restaurants is a short distance away as is Richmond Park. The standard of schooling in the immediate area is excellent within both the private &amp; state sectors to include Fern Hill, Latchmere, Kingston Grammar and The German School",freehold,,2026-03-06,KT2 5EU,1020000.0,814000.0,1220000.0,https://www.zoopla.co.uk/property/uprn/100021768564/,80000.0,475,8 mins,1.21,4881,1 hour 21 mins,28.81
72597602,1375000,5,2,"158 Richmond Road, Kingston Upon Thames KT2",51.41951,-0.30162,https://www.zoopla.co.uk/for-sale/details/72597602/,100021766845,5 bed detached house for sale,"This substantial Victorian detached home with driveway parking spans over 2100 sq ft and provides five bedrooms, two bathrooms (one en suite) and a peaceful and secluded rear garden. Set over three floors, the house offers generous, balanced living space, including two reception rooms, a contemporary kitchen and a large conservatory with heat pump and air conditioning and a useful cellar with utility area. Further features include double glazing and solar thermal panels. Ideally positioned near the River Thames, Richmond Park and just a short walk from Kingstonâs vibrant town centre, the property is also close to popular local schools such as The Kingston Academy and Fern Hill Primary School.",freehold,,2026-03-06,KT2 5HD,1430000.0,1360000.0,1500000.0,https://www.zoopla.co.uk/property/uprn/100021766845/,-55000.0,445,7 mins,1.17,4791,1 hour 20 mins,28.7
